Epoca,Erro medio quadratico,Tempo
1,0.4026118138913737,1148.33
2,0.056631576067131206,
3,0.006203282037920033,
4,0.0012989897418896335,
5,0.0006868680112269154,
6,0.0005910716831756258,
7,0.0005940474107610783,
8,0.0006372934437996469,
9,0.000714019830909296,
10,0.0008258984672925851,
11,0.0009755735284756595,
12,0.0011644267657673901,
13,0.0013910450076097258,
14,0.0016500840019269547,
15,0.0019320440862024002,
16,0.002224395131760426,
17,0.0025138895770187575,
18,0.0027892211571173275,
19,0.003042994938785626,
20,0.00327242494492469,
21,0.003478843767312889,
22,0.0036664935149894884,
23,0.0038410524923806477,
24,0.0040081390619729484,
25,0.0041718527979695,
26,0.0043333801462979715,
27,0.004489823465151588,
28,0.004633637752198216,
29,0.004753197033843803,
30,0.004834814756390637,
31,0.004865917787551188,
32,0.0048383360095320405,
33,0.004750413051253732,
34,0.004607171554042833,
35,0.004418716816405932,
36,0.0041977593185797135,
37,0.003957225348348553,
38,0.0037085600195775614,
39,0.003460870029043217,
40,0.003220749556044844,
41,0.0029925280387371744,
42,0.002778705800714709,
43,0.002580420249635257,
44,0.002397859620917958,
45,0.002230593430744332,
46,0.002077818386983149,
47,0.0019385318277017893,
48,0.001811648535471333,
49,0.001696075886363474,
50,0.0015907596419374725,
51,0.0014947097642863671,
52,0.0014070130588988983,
53,0.0013268374127485272,
54,0.001253430878839834,
55,0.0011861177739105055,
56,0.0011242932014827178,
57,0.0010674168984634025,
58,0.001015006959343645,
59,0.000966633765262126,
60,0.0009219142981606865,
61,0.0008805069267131815,
62,0.0008421066926444509,
63,0.0008064410912336506,
64,0.000773266320028887,
65,0.0007423639596389198,
66,0.0007135380462950924,
67,0.0006866124953537611,
68,0.0006614288365062171,
69,0.0006378442241868065,
70,0.0006157296899347575,
71,0.0005949686068667803,
72,0.0005754553397449846,
73,0.0005570940572506844,
74,0.0005397976859483344,
75,0.0005234869879976733,
76,0.0005080897469656454,
77,0.0004935400481222152,
78,0.00047977764138024126,
79,0.0004667473765755936,
80,0.000454398702146086,
81,0.0004426852194338027,
82,0.0004315642858412072,
83,0.00042099666096145905,
84,0.0004109461905509315,
85,0.0004013795238813067,
86,0.0003922658605659546,
87,0.00038357672345532,
88,0.0003752857546234778,
89,0.00036736853182953166,
90,0.00035980240317007306,
91,0.000352566337910698,
92,0.00034564079172402784,
93,0.00033900758478747073,
94,0.0003326497913567483,
95,0.0003265516396101509,
96,0.00032069842069087917,
97,0.0003150764059962896,
98,0.000309672771872882,
99,0.000304475530974041,
100,0.00029947346960843,
101,0.00029465609049761365,
102,0.0002900135604061993,
103,0.00028553666218314455,
104,0.0002812167507859342,
105,0.00027704571291736757,
106,0.00027301592993655976,
107,0.00026912024373970667,
108,0.00026535192534327123,
109,0.0002617046459235106,
110,0.0002581724500919924,
111,0.00025474973121478173,
112,0.00025143120858833745,
113,0.00024821190632132173,
114,0.00024508713376891755,
115,0.0002420524673923119,
116,0.000239103733924384,
117,0.00023623699473196424,
118,0.0002334485312780188,
119,0.00023073483159385955,
120,0.00022809257768488522,
121,0.00022551863378778014,
